Organism,Lineage
Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7),"Aspergillus subgen. Circumdati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),"Bordetella, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Buchnera aphidicola subsp. Cinara cedri (strain Cc),"Buchnera aphidicola (Cinara cedri), Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cochliomyia hominivorax,"Cochliomyia, Chrysomyini, Chrysomyinae, Calliphoridae, Oestroidea, Calyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Human herpesvirus 7 (strain JI),"Human betaherpesvirus 7, Roseolovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Enterobacteria phage T4,"Tequatrovirus, Tevenvirinae, Myoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Marchantia polymorpha,"Marchantia, Marchantiaceae, Marchantiales, Marchantiidae, Marchantiopsida, Marchantiophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Corynebacterium glutamicum (strain R),"Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Ureaplasma parvum serovar 3 (strain ATCC 27815 / 27 / NCTC 11736),"Ureaplasma parvum, Ureaplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Xanthomonas phage Xf,"unclassified Inoviridae, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Drosophila yakuba,"melanogaster subgroup, melanogaster group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bovine immunodeficiency virus (strain R29),"Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Rhipicephalus sanguineus,"Rhipicephalus sanguineus group, Rhipicephalus, Rhipicephalus, Rhipicephalinae, Ixodidae, Ixodoidea, Ixodida, Parasitiformes, Acari, Arachnida, Chelicerata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Thermococcus onnurineus (strain NA1),"Thermococcus, Thermococcaceae, Thermococcales, Thermococci, Euryarchaeota, Archaea, cellular organisms"
Patiria pectinifera,"Patiria, Asterinidae, Valvatida, Valvatacea, Asteroidea, Asterozoa, Eleutherozoa, Echinodermata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Paulinella chromatophora,"Paulinella, Paulinellidae, Euglyphida, Silicofilosea, Imbricatea, Rhizaria, Sar, Eukaryota, cellular organisms"
Blattabacterium sp. subsp. Periplaneta americana (strain BPLAN),"Blattabacterium sp. (Periplaneta americana), unclassified Blattabacterium, Blattabacterium, Blattabacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Grapevine fleck virus (isolate Italy/MT48),"Maculavirus, Tymoviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Helicobacter hepaticus (strain ATCC 51449 / 3B1),"Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / NBRC 14942 / NCIMB 11054 / UW101),"Flavobacterium, Flavobacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Passalora fulva,"Fulvia, Mycosphaerellaceae, Mycosphaerellales, Dothideomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Sulfolobus islandicus (strain M.14.25 / Kamchatka #1),"Sulfolobus, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Oliveros mammarenavirus (isolate Mouse/Argentina/RIID 3229/1990),"Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Burkholderia pseudomallei (strain 1710b),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Penicillium crustosum,"Penicillium, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S),"Methanothermus, Methanothermaceae, Methanobacteriales, Methanobacteria, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Pan troglodytes,"Pan, Homininae, Hominidae, Hominoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831),"Oceanobacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Bovine ephemeral fever virus (strain BB7721),"Bovine fever ephemerovirus, Ephemerovirus, Alpharhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / CCUG 1429 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006 / CDC 819-56),"Klebsiella, Klebsiella/Raoultella group, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pseudomonas phage Pf1,"Primolicivirus, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3),"Frankia, Frankiaceae, Frankiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Gluconobacter oxydans (strain 621H),"Gluconobacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311),"Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Escherichia coli O157:H7 (strain EC4115 / EHEC),"Escherichia coli, Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Fragaria ananassa,"Fragaria, Fragariinae, Potentilleae, Rosoideae, Rosaceae, Rosales, fabids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Buchnera aphidicola subsp. Schizaphis graminum (strain Sg),"Buchnera aphidicola (Schizaphis graminum), Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Aspergillus burnettii,"Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Chondrus crispus,"Chondrus, Gigartinaceae, Gigartinales, Rhodymeniophycidae, Florideophyceae, Rhodophyta, Eukaryota, cellular organisms"
Comamonas testosteroni,"Comamonas, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288),"Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Gamma-proteobacterium Hot 75m4,"unclassified Gammaproteobacteria, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Helicobacter acinonychis (strain Sheeba),"Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Gibberella moniliformis (strain M3125 / FGSC 7600),"Fusarium fujikuroi species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a),"Bifidobacterium, Bifidobacteriaceae, Bifidobacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
White clover mosaic virus (strain M),"Potexvirus, Alphaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Papaver somniferum,"Papaver, Papaveroideae, Papaveraceae, Ranunculales, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315),"Streptococcus pyogenes serotype M3, Streptococcus pyogenes, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Methanosarcina barkeri (strain Fusaro / DSM 804),"Methanosarcina, Methanosarcinaceae, Methanosarcinales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Oenothera elata subsp. hookeri,"Oenothera elata, Oenothera, Onagreae, Onagroideae, Onagraceae, Myrtales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Legionella pneumophila (strain Corby),"Legionella, Legionellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chlorella vulgaris,"Chlorella, Chlorella clade, Chlorellaceae, Chlorellales, Trebouxiophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Listeria phage A118,"unclassified Siphoviridae, Siphoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Murine coronavirus (strain JHM),"Murine hepatitis virus, Murine coronavirus, Embecovirus, Betacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Ginglymostoma cirratum,"Ginglymostoma, Ginglymostomatidae, Orectolobiformes, Galeoidea, Galeomorphii, Selachii, Elasmobranchii, Chondrichthyes, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bacillus caldolyticus,"Geobacillus thermoleovorans group, Geobacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Northern cereal mosaic virus,"unclassified Cytorhabdovirus, Cytorhabdovirus, Betarhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Mytilus edulis,"Mytilus, Mytilinae, Mytilidae, Mytiloidea, Mytiloida, Pteriomorphia, Autobranchia, Bivalvia, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bacillus spizizenii (strain ATCC 23059 / NRRL B-14472 / W23),"Bacillus subtilis group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Prochlorococcus marinus (strain MIT 9515),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Nostoc punctiforme (strain ATCC 29133 / PCC 73102),"Nostoc punctiforme, Nostoc, Nostocaceae, Nostocales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Agrobacterium tumefaciens (strain 15955),"Rhizobium radiobacter, Agrobacterium tumefaciens complex, Agrobacterium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176),"Campylobacter jejuni subsp. jejuni, Campylobacter jejuni, Campylobacter, Campylobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Daucus carota,"Daucus carota, Daucus sect. Daucus, Daucus, Daucinae, Scandiceae, Apioideae, Apiaceae, Apiineae, Apiales, campanulids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Anopheles quadrimaculatus,"quadrimaculatus species complex, maculipennis subgroup, maculipennis group, Anopheles, Angusticorn, Anopheles, Anopheles, Anophelinae, Culicidae, Culicoidea, Culicomorpha, Nematocera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Spiroplasma virus 4,"Spiromicrovirus, Gokushovirinae, Microviridae, Petitvirales, Malgrandaviricetes, Phixviricota, Sangervirae, Monodnaviria, Viruses"
Crocosphaera subtropica (strain ATCC 51142 / BH68),"Crocosphaera subtropica, Crocosphaera, Aphanothecaceae, Chroococcales, Oscillatoriophycideae, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Lysinibacillus sphaericus (strain C3-41),"Lysinibacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Newcastle disease virus (strain D26/76),"Avian orthoavulavirus 1, Orthoavulavirus, Avulavirinae, Paramyxoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Acaryochloris marina (strain MBIC 11017),"Acaryochloris, Acaryochloridaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Staphylococcus xylosus,"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Shewanella woodyi (strain ATCC 51908 / MS32),"Shewanella, Shewanellaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Shewanella sp. (strain ANA-3),"unclassified Shewanella, Shewanella, Shewanellaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2),"Alcanivorax, Alcanivoracaceae, Oceanospirillales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Prochlorococcus marinus (strain MIT 9215),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Syntrophus aciditrophicus (strain SB),"Syntrophus aciditrophicus, Syntrophus, Syntrophaceae, Syntrophales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Lactobacillus helveticus,"Lactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Botryococcus braunii,"Botryococcus, Elliptochloris clade, Trebouxiophyceae incertae sedis, Trebouxiophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Methylophilus methylotrophus,"Methylophilus, Methylophilaceae, Nitrosomonadales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Escherichia phage T7,"Escherichia virus T7, Teseptimavirus, Studiervirinae, Autographiviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Vibrio parahaemolyticus,"Vibrio harveyi group, Vibrio, Vibrionaceae, Vibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Wolbachia pipientis subsp. Culex pipiens (strain wPip),"Wolbachia endosymbiont of Culex quinquefasciatus, unclassified Wolbachia, Wolbachia, Wolbachieae, Anaplasmataceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Jannaschia sp. (strain CCS1),"unclassified Jannaschia, Jannaschia, Roseobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3),"Thermococcus, Thermococcaceae, Thermococcales, Thermococci, Euryarchaeota, Archaea, cellular organisms"
Aspergillus amstelodami,"Aspergillus subgen. Aspergillus, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947),"Levilactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892),"Trichophyton, Arthrodermataceae, Onygenales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Aspergillus terreus (strain NIH 2624 / FGSC A1156),"Aspergillus subgen. Circumdati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
